,train_time_s,inference_ms_per_email,peak_mem_mb
Naive Bayes (NB),0.009965658187866211,0.005516437215542575,1174.380544
Logistic Regression (LR),0.648322582244873,0.0027175343364750576,1217.298432
Linear SVM,0.2731027603149414,0.017639037665970827,1240.551424
"DistilBERT (2 epochs, lr=3e-5)",199.32668900489807,7.8760182091949185,2860.587008
"DistilBERT (3 epochs, lr=3e-5)",304.53948616981506,7.881507086097647,2867.533824
"DistilBERT (2 epochs, lr=2e-5)",203.17492198944092,7.935492489316048,3958.09792
"DistilBERT (5 epochs, lr=2e-5)",506.282963514328,7.892062248439963,3959.670784
"DistilBERT (10 epochs, lr=2e-5)",1010.6427612304688,8.050925141080803,3959.670784
