model,accuracy_mean,accuracy_std,accuracy_ci95,f1_mean,f1_std,f1_ci95,auc_mean,auc_std,auc_ci95
Naive Bayes (NB),0.9754128440366973,0.001641150809174164,0.0014385321100917486,0.9753813498730028,0.0016621726804103719,0.0014569585926663246,0.9955948541659282,0.0015195502743686597,0.0013319445418169774
Logistic Regression (LR),0.9750458715596331,0.004418933790382485,0.0038733662465994887,0.9750246095792463,0.0043990858214979865,0.0038559687348042014,0.9932026792359216,0.003381574818165703,0.0029640810164526413
Linear SVM,0.9757798165137614,0.0030149865550743124,0.0026427522362504775,0.9757460297425995,0.0030041878467220204,0.0026332867510400694,0.9932381188645143,0.0033057689664533845,0.002897634257744404
