,Accuracy,F1-score (weighted),AUC
Naive Bayes (NB),0.9761467889908257,0.9761184025247335,0.9958890030832477
Logistic Regression (LR),0.9779816513761468,0.9779816513761468,0.9964205975121381
Linear SVM,0.9779816513761468,0.977928924319032,0.9969521919410285
"DistilBERT (2 epochs, lr=3e-5)",0.9853211009174312,0.9852859495460214,0.996473756955027
"DistilBERT (3 epochs, lr=3e-5)",0.9853211009174312,0.9852859495460214,0.9963319984406562
"DistilBERT (2 epochs, lr=2e-5)",0.9798165137614679,0.9798402413040808,0.9951979303256901
"DistilBERT (5 epochs, lr=2e-5)",0.9853211009174312,0.9852499333624831,0.99723570896977
"DistilBERT (10 epochs, lr=2e-5)",0.9871559633027523,0.9871406782825486,0.9957206648474324
